height,slope_avg,river_distance_avg,drainscore_avg,permeable,distance_avg,length_sew,numpoints,dept_avg
344.0,4.0,919.0,4.0,1,121.0,0.0,0.0,0.0
41.0,1.5,273.0,4.0,0,394.0,0.0,0.0,0.0
854.0,7.0,1794.0,4.0,1,3220.0,0.0,0.0,0.0
703.0,5.5,978.0,4.0,1,1463.0,0.0,0.0,0.0
622.0,5.0,710.0,4.0,1,877.0,0.0,0.0,0.0
87.75,3.0,752.0,4.0,0,464.0,16.0,0.0,0.0
369.0,4.0,554.0,4.0,1,948.0,0.0,0.0,0.0
496.0,8.0,563.0,4.0,1,139.0,0.0,0.0,0.0
166.5,6.0,848.0,4.0,1,537.0,0.0,0.0,0.0
71.0,2.5,691.0,4.0,1,704.0,0.0,0.0,0.0
100.0,2.5,520.0,3.0,1,56.0,0.0,0.0,0.0
7.5,2.0,264.0,4.0,1,284.0,8.5,0.0,0.0
1178.0,6.0,1377.0,4.0,1,3058.0,0.0,0.0,0.0
455.5,2.5,55.0,4.0,1,514.0,0.0,0.0,0.0
962.0,9.0,2016.0,4.0,1,400.0,0.0,0.0,0.0
109.0,2.0,857.0,4.0,1,83.0,0.0,0.0,0.0
81.0,3.0,505.0,4.0,1,207.0,21.666666666666668,1.0,0.0
787.0,9.0,980.0,4.0,1,3700.0,0.0,0.0,0.0
859.0,12.5,1258.0,5.0,1,2908.0,0.0,0.0,0.0
63.0,1.5,637.0,4.0,0,253.0,0.0,0.0,0.0
277.0,3.0,371.0,4.0,1,96.0,15.5,1.0,0.0
494.5,5.0,344.0,4.0,1,117.0,0.0,0.0,0.0
147.5,6.0,871.0,4.0,1,308.0,0.0,0.0,0.0
1412.5,9.0,1453.0,4.0,1,2182.0,0.0,0.0,0.0
190.0,4.0,631.0,4.0,1,238.0,0.0,0.0,0.0
303.5,4.0,320.0,4.0,1,372.0,0.0,0.0,0.0
467.0,4.0,494.0,4.0,1,941.0,0.0,0.0,0.0
103.5,4.5,963.0,4.0,1,720.0,0.0,0.0,0.0
111.0,2.0,83.0,4.0,0,182.0,0.0,0.0,0.0
48.0,1.0,302.0,4.0,1,229.0,0.0,0.0,0.0
445.5,5.5,507.0,2.0,1,3.0,0.0,0.0,0.0
33.5,1.5,894.0,4.0,1,871.0,0.0,0.0,0.0
388.0,3.0,216.0,4.0,1,741.0,0.0,0.0,0.0
797.0,12.0,1149.0,4.0,1,2420.0,0.0,0.0,0.0
167.0,2.0,242.0,4.0,1,105.0,0.0,0.0,0.0
557.5,8.0,433.0,4.0,1,507.0,0.0,0.0,0.0
1108.0,8.0,543.0,4.0,1,1712.0,0.0,0.0,0.0
1534.0,18.5,2107.0,4.0,1,663.0,0.0,0.0,0.0
1341.0,15.0,1235.0,4.0,1,1721.0,0.0,0.0,0.0
112.5,1.5,590.0,4.0,0,187.0,0.0,0.0,0.0
61.0,3.0,502.0,3.0,1,295.0,0.0,0.0,0.0
158.0,2.5,714.0,4.0,1,349.0,20.33333333333333,1.0,0.0
269.0,3.5,143.0,4.0,1,285.0,0.0,0.0,0.0
339.25,3.0,266.0,4.0,1,255.0,12.0,1.0,0.0
106.0,3.0,864.0,4.0,1,94.0,0.0,0.0,0.0
325.0,6.0,521.0,4.0,1,782.0,0.0,0.0,0.0
117.5,4.5,325.0,4.0,1,350.0,0.0,0.0,0.0
8.5,2.0,263.0,4.0,1,305.0,0.0,0.0,0.0
582.5,4.0,125.0,4.0,1,106.0,0.0,0.0,0.0
284.5,3.0,422.0,4.0,1,113.0,0.0,0.0,0.0
9.0,1.0,810.0,4.5,1,48.0,0.0,0.0,0.0
549.75,4.0,394.0,4.0,1,549.0,0.0,0.0,0.0
363.0,6.0,148.0,4.0,1,423.0,0.0,0.0,0.0
424.0,3.0,155.0,4.0,1,429.0,0.0,0.0,0.0
686.5,7.0,389.0,4.0,1,580.0,0.0,0.0,0.0
536.5,8.5,115.0,4.0,1,307.0,0.0,0.0,0.0
53.0,1.0,547.0,4.0,0,667.0,15.0,0.0,0.0
224.5,4.5,443.0,2.0,1,0.0,0.0,0.0,0.0
504.5,9.0,1015.0,4.0,1,756.0,0.0,0.0,0.0
224.0,4.0,555.0,4.0,1,38.0,0.0,0.0,0.0
46.5,4.0,530.0,4.0,1,1261.0,0.0,0.0,0.0
37.0,12.0,280.0,4.0,1,667.0,35.0,0.0,0.0
908.5,14.5,614.0,4.5,1,930.0,0.0,0.0,0.0
5.0,2.0,487.0,2.5,1,830.0,0.0,0.0,0.0
18.0,2.5,866.0,4.5,1,433.0,0.0,0.0,0.0
474.0,7.0,399.0,4.0,1,454.0,0.0,0.0,0.0
80.0,0.5,688.0,4.0,0,565.0,0.0,0.0,0.0
632.0,15.0,560.0,4.0,1,866.0,0.0,0.0,0.0
1190.0,4.0,324.0,4.0,1,1772.0,0.0,0.0,0.0
476.5,7.0,718.0,4.0,1,996.0,0.0,0.0,0.0
542.5,9.0,238.0,4.0,1,394.0,0.0,0.0,0.0
54.0,2.0,233.0,4.0,1,490.0,0.0,0.0,0.0
774.0,15.0,331.0,5.0,1,2958.0,0.0,0.0,0.0
318.0,4.5,1172.0,4.0,1,862.0,0.0,0.0,0.0
69.75,3.0,156.0,4.0,1,1062.0,0.0,0.0,0.0
436.0,5.666666666666667,256.0,4.0,1,687.0,0.0,0.0,0.0
191.5,4.0,420.0,4.0,1,521.0,0.0,0.0,0.0
476.0,3.5,297.0,4.0,1,674.0,0.0,0.0,0.0
413.0,7.666666666666667,220.0,4.0,1,473.0,0.0,0.0,0.0
106.0,1.0,156.0,4.0,1,464.0,15.666666666666666,3.0,0.0
281.0,2.5,335.0,4.0,1,111.0,0.0,0.0,0.0
9.0,3.0,235.0,4.0,1,765.0,0.0,0.0,0.0
553.5,5.0,221.0,4.0,1,632.0,0.0,0.0,0.0
371.0,10.5,161.0,4.0,1,559.0,0.0,0.0,0.0
97.5,1.5,945.0,4.0,1,807.0,15.0,1.0,0.0
347.0,8.0,479.0,4.0,1,209.0,0.0,0.0,0.0
152.5,3.5,685.0,2.0,1,51.0,22.5,0.0,0.0
174.0,7.0,200.0,4.0,1,283.0,0.0,0.0,0.0
867.0,19.0,1000.0,5.0,1,1412.0,0.0,0.0,0.0
19.0,2.5,155.0,4.0,1,77.0,0.0,0.0,0.0
455.0,8.0,651.0,4.0,1,654.0,0.0,0.0,0.0
80.0,10.0,152.0,4.0,1,691.0,0.0,0.0,0.0
630.0,13.0,253.0,4.5,1,997.0,0.0,0.0,0.0
153.0,1.5,565.0,4.0,1,184.0,0.0,0.0,0.0
207.0,4.0,1430.0,4.0,1,586.0,0.0,0.0,0.0
382.5,2.0,0.0,4.0,1,870.0,0.0,0.0,0.0
725.0,5.0,1226.0,4.0,1,342.0,0.0,0.0,0.0
90.0,2.0,518.0,4.0,1,61.0,0.0,0.0,0.0
672.0,10.5,658.0,4.0,1,1629.0,0.0,0.0,0.0
721.0,14.0,447.0,4.0,1,495.0,0.0,0.0,0.0
437.0,5.5,103.0,4.0,1,486.0,0.0,0.0,0.0
248.5,4.0,642.0,4.0,1,122.0,0.0,0.0,0.0
328.0,3.0,232.0,4.0,1,1556.0,0.0,0.0,0.0
799.0,10.0,1240.0,4.0,1,176.0,0.0,0.0,0.0
216.0,5.0,125.0,2.0,1,106.0,0.0,0.0,0.0
23.0,1.0,596.0,4.0,1,1017.0,0.0,0.0,0.0
34.0,1.5,676.0,4.0,1,542.0,0.0,0.0,0.0
616.0,3.5,394.0,4.0,1,628.0,0.0,0.0,0.0
170.0,2.0,404.0,4.0,1,147.0,0.0,0.0,0.0
682.0,4.5,972.0,4.0,1,247.0,0.0,0.0,0.0
183.0,4.0,411.0,4.0,1,101.0,0.0,0.0,0.0
1082.0,18.0,709.0,4.0,1,824.0,0.0,0.0,0.0
488.0,9.0,890.0,4.0,1,861.0,0.0,0.0,0.0
